AL012000	2000-06-07	18:00	21.0	-93.0	46.25	1008	54.45					673.5	2000	6	7	18	75.4889436096703	13.392222	7.707425753156206e-06	-0.12291080055437986	5.433473719359119e-06	1327131.6974186213
AL012000	2000-06-08	00:00	20.9	-92.8	46.25	1009	54.36					673.0	2000	6	8	0	76.21958105031182	15.273763	7.5709711149359765e-06	-0.08544164215558203	7.049211551642479e-06	1326029.9644407036
AL012000	2000-06-08	06:00	20.7	-93.1	46.25	1010	54.17					671.5	2000	6	8	6	75.80407570285696	15.771088	6.049735481159237e-06	-0.045018423606319045	6.526659217782937e-06	1321844.7102655922
AL012000	2000-06-08	12:00	20.8	-93.5	46.25	1010	54.27					672.0	2000	6	8	12	73.92468164462836	16.431889	4.6910727487408376e-06	-0.0643990832206727	6.880039524171124e-06	1322956.430722827
AL022000	2000-06-23	00:00	9.5	-19.8	46.25	1010	44.83					598.0	2000	6	23	0	65.82826789765429	13.025788	1.3205641216061911e-05	-0.07543713810892999	6.976262404532398e-06	1104169.0880920063
AL022000	2000-06-23	06:00	9.6	-21.0	55.5	1009	43.15					639.0	2000	6	23	6	65.5245920969074	12.535702	1.4120757002649446e-05	-0.057944578079301236	5.137471834800551e-06	1260214.1285979666
AL022000	2000-06-23	12:00	9.9	-22.6	55.5	1009	43.37					641.0	2000	6	23	12	63.36690499772343	10.565466	1.0139177146055746e-06	-0.06699750254452641	5.176484306169711e-06	1266994.3016767176
AL022000	2000-06-23	18:00	10.2	-24.5	55.5	1009	43.59					643.0	2000	6	23	18	62.442442702480996	10.160258	-3.095302121141741e-06	-0.015197065981917413	5.652046345023795e-06	1273751.0038774533
AL022000	2000-06-24	00:00	10.1	-26.2	55.5	1009	43.52					642.0	2000	6	24	0	54.67996465466951	10.814402	-2.856950927862539e-06	-0.011622696186329527	5.653803010504469e-06	1270183.7314092282
AL022000	2000-06-24	06:00	9.9	-27.8	55.5	1009	43.37					641.0	2000	6	24	6	56.900328494649024	9.883364	-3.866510590966305e-06	-0.01245343935540599	6.457723025521823e-06	1266994.3016767176
AL022000	2000-06-24	12:00	9.9	-29.3	55.5	1009	43.37					641.0	2000	6	24	12	53.69202412517476	8.7392025	-2.1477211246265987e-06	0.006597448055578358	5.677356487141617e-06	1266994.3016767178
AL022000	2000-06-24	18:00	10.1	-30.1	55.5	1009	43.52					642.0	2000	6	24	18	53.38492677691789	8.411697	5.639677674799178e-07	0.007225015358386371	8.923366464324516e-06	1270183.7314092282
AL022000	2000-06-25	00:00	10.1	-32.6	55.5	1009	43.52					642.0	2000	6	25	0	51.3289692669047	5.8227954	1.581082468642995e-06	0.006305595244330772	9.879420432904411e-06	1270183.7314092282
AL022000	2000-06-25	06:00	10.0	-34.2	55.5	1008	43.45					641.5	2000	6	25	6	50.25369536656663	6.3866663	9.497438339257141e-07	-0.005084627285891519	1.00509358474275e-05	1268590.7300732948
AL022000	2000-06-25	12:00	9.8	-36.2	55.5	1009	43.3					640.0	2000	6	25	12	47.061122919304324	7.323177	1.6157315166706788e-06	-0.0385601714401767	1.1459058822843414e-05	1263422.0374619716
AL022000	2000-06-25	18:00	9.7	-38.2	46.25	1010	44.98					599.5	2000	6	25	18	47.43153895449466	7.0895934	2.980008524111958e-06	0.00026920010450743405	1.3836913131317634e-05	1109071.259860704
AL032000	2000-08-03	18:00	10.8	-18.0	46.25	1007	45.83					606.5	2000	8	3	18	75.95798538243756	16.05338	1.613528113425722e-05	-0.28929826845772616	1.3795515492237346e-05	1131260.47444368
AL032000	2000-08-04	00:00	11.5	-20.1	55.5	1005	44.56					651.5	2000	8	4	0	71.76637982785682	15.671909	1.5358319719058656e-05	-0.18895740937096756	1.2551015133122978e-05	1302076.7926417016
AL032000	2000-08-04	06:00	12.0	-22.3	64.75	1004	43.19	48.5				685.5	2000	8	4	6	65.68495535811658	15.8935585	1.891481084765756e-05	-0.17395654816459308	1.5001024707508967e-05	1438781.3916928642
AL032000	2000-08-04	12:00	12.3	-23.8	64.75	1003	43.4	49.0				687.5	2000	8	4	12	63.449572516968765	16.536903	2.0852103705619673e-05	-0.1450170600184295	1.5384051785412767e-05	1445587.9378386391
AL032000	2000-08-04	18:00	12.7	-25.2	74.0	1002	41.99	77.0				713.0	2000	8	4	18	58.38439129530676	14.616644	1.881389205933609e-05	-0.02540340620093376	1.5730619142406733e-05	1552301.6806444444
AL032000	2000-08-05	00:00	13.2	-26.7	74.0	1001	42.35	77.5				717.0	2000	8	5	0	46.23720547484135	12.807325	7.720183388305607e-06	0.04081988278613186	1.4469760595911918e-05	1566672.69050653
AL032000	2000-08-05	06:00	13.7	-28.2	83.25	1000	41.04	103.0				737.5	2000	8	5	6	45.39126896345498	12.947729	2.715932785859329e-06	-0.03979293363369379	1.3330278638235787e-05	1654021.528209901
AL032000	2000-08-05	12:00	14.1	-29.8	83.25	999	41.32	104.0				740.5	2000	8	5	12	46.10529247785032	12.295871	-2.745721571172066e-09	-0.06143168380035435	1.491883445358645e-05	1664676.1834284798
AL032000	2000-08-05	18:00	14.5	-31.4	101.7	994	38.41	145.5	56.0			765.0	2000	8	5	18	46.71858281313408	10.915703	3.6874009707165246e-06	-0.03751223559426355	1.3883714486801358e-05	1773374.2585308987
AL032000	2000-08-06	00:00	14.5	-33.2	120.2	987	35.47	175.5	83.5	37.0		773.0	2000	8	6	0	42.81001109871438	10.742072	2.391226722823976e-06	0.022148504062544292	1.26912545477236e-05	1810590.9865757292
